timestamp,rpm,power_kw,torque_nm,voltage_v,current_a,stator_temp_c,bearing_temp_c,vibration_mms,load_pct,product_temp_c
2025-11-23T15:44:12+01:00,1350.6,16.845,175.7,422.3,45.00,64.54,76.95,4.547,62.16,22.97
2025-11-23T15:44:13+01:00,1350.1,16.898,175.4,422.1,45.00,65.04,77.76,4.546,62.34,23.00
2025-11-23T15:44:14+01:00,1350.2,16.919,175.1,421.9,45.00,65.47,78.52,4.526,62.42,22.97
2025-11-23T15:44:15+01:00,1349.6,16.931,175.4,421.0,45.00,65.71,79.14,4.449,62.27,22.98
2025-11-23T15:44:16+01:00,1350.1,16.948,175.4,422.0,45.00,65.96,79.83,4.469,62.40,23.02
2025-11-23T15:44:17+01:00,1350.7,16.959,175.4,422.0,45.00,66.07,80.45,4.582,62.21,23.00
2025-11-23T15:44:18+01:00,1349.8,16.986,176.9,421.4,45.00,66.33,80.81,4.603,62.43,23.02
2025-11-23T15:44:19+01:00,1350.6,16.999,176.5,421.0,45.00,66.65,81.16,4.574,62.39,23.02
2025-11-23T15:44:20+01:00,1352.0,17.005,176.5,421.7,45.00,66.81,81.67,4.480,62.41,23.03
2025-11-23T15:44:21+01:00,1352.8,17.009,176.1,421.3,45.00,66.99,82.14,4.458,62.66,23.04
2025-11-23T15:44:22+01:00,1353.9,17.046,176.4,421.7,45.00,67.03,82.45,4.480,62.62,23.08
2025-11-23T15:44:23+01:00,1354.7,17.030,175.6,421.1,45.00,67.54,82.74,4.407,62.66,23.07
2025-11-23T15:44:24+01:00,1355.1,17.047,175.5,420.8,45.00,67.69,83.04,4.506,62.59,23.05
2025-11-23T15:44:25+01:00,1354.1,17.039,176.3,421.3,45.00,68.01,83.20,4.413,62.56,23.02
2025-11-23T15:44:26+01:00,1354.8,17.019,175.7,421.1,45.00,68.19,83.39,4.356,62.32,23.04
2025-11-23T15:44:27+01:00,1356.3,17.021,176.4,420.8,45.00,68.16,83.46,4.425,62.42,23.06
2025-11-23T15:44:28+01:00,1356.1,17.039,175.5,420.7,45.00,68.29,83.54,4.408,62.53,23.04
2025-11-23T15:44:29+01:00,1355.6,17.029,176.1,420.0,45.00,68.27,83.58,4.422,62.55,23.04
2025-11-23T15:44:30+01:00,1355.6,17.055,176.7,420.8,45.00,68.09,83.73,4.469,62.56,23.02
2025-11-23T15:44:31+01:00,1357.0,17.066,177.2,421.1,45.00,68.35,83.86,4.522,62.50,23.02
2025-11-23T15:44:32+01:00,1358.3,17.077,177.2,421.2,45.00,68.53,83.90,4.487,62.64,23.02
2025-11-23T15:44:33+01:00,1358.7,17.112,176.5,422.2,45.00,68.53,83.91,4.512,62.71,23.01
2025-11-23T15:44:34+01:00,1358.4,17.120,176.2,423.2,45.00,68.66,83.77,4.519,62.73,23.04
2025-11-23T15:44:35+01:00,1357.7,17.133,176.9,422.9,45.00,68.68,83.95,4.550,62.56,23.02
2025-11-23T15:44:36+01:00,1357.0,17.156,177.4,422.9,45.00,68.79,84.05,4.476,62.41,23.05
2025-11-23T15:44:37+01:00,1356.9,17.118,175.5,423.1,45.00,68.84,84.13,4.442,62.25,23.02
2025-11-23T15:44:38+01:00,1357.9,17.089,174.8,424.2,45.00,68.84,84.24,4.448,62.45,23.03
2025-11-23T15:44:39+01:00,1358.6,17.099,175.7,424.5,45.00,68.98,84.45,4.426,62.48,23.06
2025-11-23T15:44:40+01:00,1359.0,17.101,174.8,424.0,45.00,69.04,84.45,4.473,62.57,23.08
2025-11-23T15:44:41+01:00,1358.4,17.062,173.9,423.9,45.00,68.94,84.57,4.559,62.38,23.11
2025-11-23T15:44:42+01:00,1359.9,17.080,175.4,424.0,45.00,68.85,84.67,4.511,62.27,23.14
2025-11-23T15:44:43+01:00,1361.1,17.092,176.0,423.3,45.00,69.06,84.70,4.466,62.17,23.12
2025-11-23T15:44:44+01:00,1361.2,17.089,174.8,423.9,45.00,69.09,84.78,4.435,62.25,23.16
2025-11-23T15:44:45+01:00,1361.1,17.098,174.7,423.3,45.00,69.06,84.71,4.440,62.43,23.17
2025-11-23T15:44:46+01:00,1362.8,17.094,175.6,422.7,45.00,68.78,84.55,4.436,62.45,23.16
2025-11-23T15:44:47+01:00,1363.0,17.078,176.1,423.2,45.00,68.89,84.51,4.495,62.48,23.12
2025-11-23T15:44:48+01:00,1363.7,17.103,177.6,422.8,45.00,68.87,84.63,4.499,62.57,23.12
2025-11-23T15:44:49+01:00,1363.6,17.099,177.5,423.5,45.00,69.00,84.60,4.526,62.47,23.09
2025-11-23T15:44:50+01:00,1363.5,17.130,176.8,424.4,45.00,69.10,84.75,4.537,62.60,23.11
2025-11-23T15:44:51+01:00,1364.2,17.155,176.6,425.6,45.00,69.13,84.79,4.566,62.43,23.12
2025-11-23T15:44:52+01:00,1363.7,17.125,176.5,425.4,45.00,69.25,84.78,4.554,62.44,23.09
2025-11-23T15:44:53+01:00,1365.0,17.119,177.3,425.6,45.00,69.20,84.86,4.532,62.49,23.09
2025-11-23T15:44:54+01:00,1366.7,17.166,178.7,426.7,45.00,69.31,84.91,4.495,62.63,23.05
2025-11-23T15:44:55+01:00,1366.6,17.164,178.4,427.2,45.00,69.28,84.85,4.517,62.61,23.05
2025-11-23T15:44:56+01:00,1366.6,17.161,177.3,426.6,45.00,69.18,84.69,4.510,62.83,23.05
2025-11-23T15:44:57+01:00,1366.0,17.171,176.9,426.4,45.00,69.34,84.70,4.479,62.72,23.08
2025-11-23T15:44:58+01:00,1366.6,17.145,177.5,425.7,45.00,69.40,84.65,4.491,62.90,23.08
2025-11-23T15:44:59+01:00,1368.2,17.179,178.8,426.1,45.00,69.42,84.57,4.542,62.88,23.08
2025-11-23T15:45:00+01:00,1369.2,17.187,177.8,426.1,45.00,69.55,84.77,4.500,62.86,23.07
2025-11-23T15:45:01+01:00,1370.4,17.202,178.2,426.1,45.00,69.70,84.75,4.479,63.09,23.04
2025-11-23T15:45:02+01:00,1370.5,17.183,176.5,425.7,45.00,69.63,84.67,4.533,63.15,23.07
2025-11-23T15:45:03+01:00,1370.3,17.201,176.3,427.0,45.00,69.77,84.69,4.524,63.11,23.06
2025-11-23T15:45:04+01:00,1371.3,17.180,175.7,428.2,45.00,69.94,84.69,4.466,62.87,23.07
2025-11-23T15:45:05+01:00,1372.7,17.165,176.2,428.7,45.00,69.96,84.81,4.428,62.66,23.05
2025-11-23T15:45:06+01:00,1374.4,17.141,175.5,428.2,45.00,69.85,84.74,4.421,62.84,23.07
2025-11-23T15:45:07+01:00,1374.9,17.168,177.1,429.5,45.00,69.83,84.76,4.444,62.86,23.06
2025-11-23T15:45:08+01:00,1375.1,17.177,176.5,430.2,45.00,69.79,84.78,4.466,62.63,23.06
2025-11-23T15:45:09+01:00,1376.3,17.179,175.9,431.1,45.00,69.97,84.71,4.535,62.73,23.07
2025-11-23T15:45:10+01:00,1376.9,17.195,175.8,431.9,45.00,69.99,84.71,4.637,62.97,23.05
2025-11-23T15:45:11+01:00,1378.3,17.179,176.2,431.2,45.00,69.97,84.75,4.672,62.91,23.04
2025-11-23T15:45:12+01:00,1379.9,17.181,175.6,431.2,45.00,69.98,84.88,4.638,63.08,23.04
2025-11-23T15:45:13+01:00,1380.2,17.171,175.7,431.9,45.00,69.91,84.86,4.565,62.92,23.01
2025-11-23T15:45:14+01:00,1381.2,17.136,176.2,433.1,45.00,70.06,84.93,4.497,62.79,23.01
2025-11-23T15:45:15+01:00,1381.8,17.136,175.1,432.5,45.00,70.14,85.13,4.569,62.66,23.03
2025-11-23T15:45:16+01:00,1383.3,17.142,175.5,433.5,45.00,70.20,85.02,4.425,62.54,23.03
2025-11-23T15:45:17+01:00,1384.2,17.159,176.0,434.0,45.00,69.95,84.92,4.373,62.70,23.01
2025-11-23T15:45:18+01:00,1385.9,17.212,177.6,434.5,45.00,70.09,84.97,4.448,62.67,23.00
2025-11-23T15:45:19+01:00,1387.1,17.235,177.9,433.9,45.00,70.15,84.99,4.453,62.81,23.00
2025-11-23T15:45:20+01:00,1388.8,17.255,177.4,433.7,45.00,70.25,84.95,4.522,62.79,22.97
2025-11-23T15:45:21+01:00,1388.6,17.264,176.2,434.2,45.00,70.30,84.99,4.470,62.87,22.94
2025-11-23T15:45:22+01:00,1390.3,17.250,175.3,434.3,45.00,70.36,85.12,4.468,62.94,22.97
2025-11-23T15:45:23+01:00,1391.3,17.237,174.1,434.7,45.00,70.30,85.23,4.503,62.82,22.96
2025-11-23T15:45:24+01:00,1392.5,17.205,173.8,434.3,45.00,70.43,85.22,4.488,62.66,22.92
2025-11-23T15:45:25+01:00,1392.6,17.179,173.6,433.8,45.00,70.60,85.16,4.474,62.53,22.95
2025-11-23T15:45:26+01:00,1392.7,17.186,174.3,433.2,45.00,70.29,85.27,4.513,62.45,22.94
2025-11-23T15:45:27+01:00,1393.6,17.208,175.5,433.0,45.00,70.17,85.27,4.593,62.31,22.94
2025-11-23T15:45:28+01:00,1395.5,17.238,175.1,433.3,45.00,70.35,85.19,4.666,62.44,22.97
2025-11-23T15:45:29+01:00,1395.3,17.225,174.9,433.4,45.00,70.38,85.33,4.592,62.30,22.96
2025-11-23T15:45:30+01:00,1396.4,17.199,173.5,433.5,45.00,70.58,85.16,4.588,62.41,22.96
2025-11-23T15:45:31+01:00,1397.2,17.183,172.9,432.7,45.00,70.43,85.15,4.551,62.23,22.92
